fem,plugin,version,status
101,htmlpublisher,1.11,true
101,flexible-publish,0.15.2,true
101,build-blocker-plugin,1.6,true
101,display-url-api,0.5,true
101,ssh-credentials,1.12,true
101,mongodb,1.3,true
101,envinject,1.92.1,true
101,envfile,1.2,true
101,postbuild-task,1.8,true
101,nodelabelparameter,1.7.1,true
101,javadoc,1.3,true
101,xfpanel,2.0.1,true
101,build-failure-analyzer,1.13.1,true
101,extensible-choice-parameter,1.3.2,true
101,checkstyle,3.43,true
101,conditional-buildstep,1.3.3,true
101,mailer,1.18,true
101,git-client,2.2.1,true
101,cucumber-reports,2.6.3,true
101,build-keeper-plugin,1.3,true
101,authentication-tokens,1.2,true
101,PrioritySorter,3.4,true
101,confluence-publisher,1.8,true
101,ssh-slaves,1.10,true
101,ccm,3.1,true
101,jenkinswalldisplay,0.6.30,true
101,authorize-project,1.2.2,true
101,eiffel-core,42.0.3,true
101,sonar-gerrit,2.0,true
101,external-monitor-job,1.4,false
101,docker-build-publish,1.2-SNAPSHOT (private-47ac5b15-jenkins),true
101,scm-api,1.3,true
101,sloccount,1.20,true
101,startup-trigger-plugin,2.4,true
101,gerrit-trigger,2.23.0,true
101,ssh,2.4,true
101,git,3.0.1,true
101,radiatorviewplugin,1.24,true
101,build-monitor-plugin,1.6+build.159,true
101,mail-watcher-plugin,1.13,true
101,cobertura,1.9.7,true
101,jobConfigHistory,2.14,true
101,workflow-scm-step,2.3,true
101,structs,1.5,true
101,plugin-usage-plugin,0.3,true
101,analysis-core,1.79,true
101,pmd,3.42,true
101,description-setter,1.10,true
101,workflow-step-api,2.6,true
101,build-timeout,1.15,true
101,maven-plugin,2.12,true
101,dashboard-view,2.9.6,true
101,uno-choice,1.2,true
101,global-build-stats,1.3,true
101,junit,1.18,true
101,ant,1.2,true
101,console-column-plugin,1.5,true
101,python,1.2,true
101,git-server,1.6,true
101,ldap,1.11,true
101,rebuild,1.25,true
101,xvfb,1.1.3,true
101,run-condition,1.0,true
101,pam-auth,1.2,true
101,claim,2.8,true
101,ssh-agent,1.8,true
101,clearcase,1.6.2,true
101,timestamper,1.7.4,true
101,multi-master,1.0.13,true
101,allure-jenkins-plugin,2.7,true
101,scriptler,2.7,true
101,taf-trigger,1.0.41,true
101,translation,1.12,true
101,docker-build-step,1.33,true
101,email-ext,2.40.5,true
101,port-allocator,1.8,true
101,build-pipeline-plugin,1.4.8,true
101,testng-plugin,1.10,true
101,multiple-scms,0.6,true
101,monitoring,1.57.0,true
101,xunit,1.97,true
101,view-job-filters,1.27,true
101,docker-commons,1.2,true
101,durable-task,1.6,true
101,ws-cleanup,0.28,true
101,findbugs,4.65,true
101,fail-the-build-plugin,1.0,true
101,ez-templates,1.3.0,true
101,lmicloud-plugin,1.0.178,true
101,logstash,1.2.0,true
101,parameterized-trigger,2.29,true
101,clone-workspace-scm,0.6,true
101,windows-slaves,1.1,false
101,sonar,2.4.4,true
101,groovy,1.29,true
101,token-macro,1.12.1,true
101,groovy-postbuild,2.3.1,true
101,export-params,1.9,true
